recency	history	used_discount	used_bogo	is_referral	treatment	zip_code_Rural	zip_code_Surburban	zip_code_Urban	channel_Multichannel	channel_Phone	channel_Web	proba_CN	proba_CR	proba_TN	proba_TR	uplift_score	target_class
3	977.51	1	1	1	0	0	0	1	0	0	1	0.47609538	0.15971044	0.2806602	0.08353403	-0.043654054	0
4	391.1	1	0	0	0	1	0	0	1	0	0	0.44303504	0.08728916	0.2850815	0.1845943	0.45685816	0
7	72.37	1	0	1	1	0	0	1	0	0	1	0.51438606	0.015488484	0.42917365	0.040951844	0.11575562	2
10	67.4	1	0	0	1	0	0	1	0	0	1	0.3868002	0.12523323	0.41583863	0.072127886	-0.19353399	2
2	45.68	1	0	1	1	0	0	1	0	1	0	0.5174911	0.02250677	0.41237244	0.047629707	0.123725966	2
5	269.99	1	1	0	1	0	1	0	0	1	0	0.35318476	0.07507783	0.42175716	0.14998022	0.17403136	2
1	29.99	1	0	0	0	1	0	0	0	0	1	0.34202328	0.07658293	0.45094025	0.13045354	0.08286646	0
9	36.98	1	0	1	1	1	0	0	0	1	0	0.46088424	0.017374637	0.47809696	0.04364414	0.09464404	3
9	153.05	1	0	0	0	0	0	1	0	0	1	0.46571398	0.03861567	0.44283715	0.052833177	0.060042076	0
2	42.37	0	1	0	0	0	1	0	0	1	0	0.45870832	0.054460283	0.43459782	0.05223354	0.002334781	0
7	302.55	1	0	0	0	0	1	0	0	0	1	0.5053114	0.059424672	0.34089977	0.09436412	0.22314382	1
10	95.4	1	0	0	1	0	1	0	0	1	0	0.48195195	0.037895884	0.42216125	0.05799089	0.095756166	2
9	29.99	0	1	0	0	0	0	1	0	1	0	0.4636378	0.036681227	0.40364912	0.096031845	0.23774135	0
12	365.6	1	1	0	1	1	0	0	0	1	0	0.28009126	0.32915473	0.16056187	0.2301921	0.097663045	2
9	215.2	1	0	1	1	0	0	1	0	0	1	0.42701125	0.021729684	0.4816619	0.069597125	0.15565518	2
4	29.99	0	1	1	1	0	0	1	0	0	1	0.49364576	0.037857234	0.44040087	0.028096195	-0.022511646	2
8	63.08	1	0	0	1	1	0	0	0	0	1	0.5219002	0.039226547	0.32645082	0.11242248	0.37250966	3
